Traject 1
Den Helder,Alkmaar,52.95527649,4.761111259,52.63777924,4.739722252,36
Alkmaar,Castricum,52.63777924,4.739722252,52.54583359,4.658611298,9
Castricum,Zaandam,52.54583359,4.658611298,52.43888855,4.813611031,12
Zaandam,Amsterdam Sloterdijk,52.43888855,4.813611031,52.38888931,4.837777615,6
Amsterdam Sloterdijk,Amsterdam Centraal,52.38888931,4.837777615,52.37888718,4.900277615,6
Amsterdam Centraal,Amsterdam Amstel,52.37888718,4.900277615,52.34666824,4.917778015,8
Amsterdam Amstel,Amsterdam Zuid,52.34666824,4.917778015,52.338889,4.872356,10
Amsterdam Zuid,Schiphol Airport,52.338889,4.872356,52.30944443,4.761944294,6
Schiphol Airport,Leiden Centraal,52.30944443,4.761944294,52.16611099,4.481666565,15
Total time of 108 minutes.
Traject 2
Zaandam,Castricum,52.43888855,4.813611031,52.54583359,4.658611298,12
Castricum,Alkmaar,52.54583359,4.658611298,52.63777924,4.739722252,9
Alkmaar,Hoorn,52.63777924,4.739722252,52.64472198,5.055555344,24
Hoorn,Zaandam,52.64472198,5.055555344,52.43888855,4.813611031,26
Zaandam,Amsterdam Sloterdijk,52.43888855,4.813611031,52.38888931,4.837777615,6
Amsterdam Sloterdijk,Amsterdam Centraal,52.38888931,4.837777615,52.37888718,4.900277615,6
Amsterdam Centraal,Amsterdam Amstel,52.37888718,4.900277615,52.34666824,4.917778015,8
Amsterdam Amstel,Amsterdam Zuid,52.34666824,4.917778015,52.338889,4.872356,10
Amsterdam Zuid,Schiphol Airport,52.338889,4.872356,52.30944443,4.761944294,6
Total time of 107 minutes.
Traject 3
Den Haag Centraal,Delft,52.08027649,4.324999809,52.00666809,4.356389046,13
Delft,Schiedam Centrum,52.00666809,4.356389046,51.92124381,4.408993721,7
Schiedam Centrum,Rotterdam Centraal,51.92124381,4.408993721,51.92499924,4.46888876,5
Rotterdam Centraal,Rotterdam Alexander,51.92499924,4.46888876,51.95194626,4.553611279,8
Rotterdam Alexander,Gouda,51.95194626,4.553611279,52.01750183,4.704444408,10
Gouda,Den Haag Centraal,52.01750183,4.704444408,52.08027649,4.324999809,18
Den Haag Centraal,Leiden Centraal,52.08027649,4.324999809,52.16611099,4.481666565,12
Leiden Centraal,Heemstede Aerdenhout,52.16611099,4.481666565,52.35916519,4.606666565,13
Heemstede Aerdenhout,Haarlem,52.35916519,4.606666565,52.38777924,4.638333321,6
